CHECKLIST,,,Form ,Packet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B8,IVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_name,packet,question,var_name,missingness,conformity,resonse_labels,data_type,branching_logic,,,,,,,,,,,,,,,,,,,,,,,,,
,,Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?",Response labels (from REDCap DED),Data type,Branching logic,PLAUSIBILITY: Is this concept or a concept related to it assessed again at any point within any other UDSv4 IVP forms (including witihin the same form)?,,,,,,,,,,,,,,,PLAUSIBILITY: Was this concept assessed in any previous versions of the UDS? ,,,"PLAUSIBILITY: Is this concept assessing something that can plausibly change from one visit to another (e.g., diabetes at visit 1 and no diabetes at visit 2; severe impairment at visit 1 and no impairment at visit 2, etc.)?",How many errors/alerts should there be for this variable?,Major variable changes for RDD-UDS update?,RDD edit notes,Short version of question for english test output (for data core),RSG notes:,
,,,,,,,,,A1,A2,A3,A4,A5/D2,B1,B4,B5,B6,B7,B8,B9,C2,D1a,D1b,UDSv1,UDSv2,UDSv3,,,,,,,
b8,I,0a. B8 Evaluation Form: Neurological Examination Findings - Form date,FRMDATEB8,Always,mm/dd/yyyy,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,
b8,I,0b. B8 Evaluation Form: Neurological Examination Findings - Examiner's initials,INITIALSB8,No,text,,String,,,,,,,,,,,,,,,,,,,,,,,,,,
b8,I,0c. B8 Evaluation Form: Neurological Examination Findings - Language,LANGB8,Always,Integers 1-2,"1, English|2, Spanish",Integer,,,,,,,,,,,,,,,,,,,,,,,,,,
b8,I,0d. B8 Evaluation Form: Neurological Examination Findings - In-person or remote?,MODEB8,Always,Integers 1-2,"1, In-person|2, Remote",Integer,,,,,,,,,,,,,,,,,,,,,,,,,,
b8,I,"0d1. If 'B8 Evaluation Form: Neurological Examination Findings' form was completed remotely, specify reason",RMREASB8,Condtional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other",Integer,[modeb8]='2',,,,,,,,,,,,,,,,,,,,,,,,,
b8,I,0d1a. What modality was used to collect this remote 'B8 Evaluation Form: Neurological Examination Findings' form?,RMMODEB8,Condtional,Integers 1-2,"1, Telephone|2, Video",Integer,[modeb8]='2',,,,,,,,,,,,,,,,,,,,,,,,,
