ERROR LIST,Form ,Packet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B8,IVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conformity/missingness checks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,Error/alert test name,Short test Description (English),Full test Description (English),Test Description Logic,Form(s) compared in test,Variable(s) compared in test,Error or alert?,Can be done in REDCap?,Type of test,Were these variables/concepts previous versions of UDS?,Question(s) for domain experts,,,,,,,,,,,,,,,,,,,,,
NEUREXAM,NEUREXAM must be present,NEUREXAM cannot be blank,Q1. NEUREXAM (which of the following was completed?) cannot be blank,If NEUREXAM = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
NEUREXAM,NEUREXAM conforms,NEUREXAM must be an integer between 0 and 3,Q1. NEUREXAM (which of the following was completed?) must be an integer between 0 and 3,If NEUREXAM < 0 or NEUREXAM > 3,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
NORMEXAM,NORMEXAM must be present if NEUREXAM = 1-3,If NEUREXAM = 1-3 then NORMEXAM cannot be blank,If Q1. NEUREXAM (which of the following was completed?) = 1-3 then  Q2. NORMEXAM (abnormal exam findings?) cannot be blank,If NEUREXAM = 1-3 and NORMEXAM = blank,n/a,n/a,Error,Yes,MIssingness,Yes,,,,,,,,,,,,,,,,,,,,,,
NORMEXAM,NORMEXAM conforms,NORMEXAM must be an integer between 0 and 1,Q2. NORMEXAM (abnormal exam findings?) must be an integer between 0 and 1,If NORMEXAM < 0 or NORMEXAM < 1,n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
PARKSIGN,PARKSIGN must be present if NEUREXAM = 1-3,If NEUREXAM = 1-3 then PARKSIGN cannot be blank,If Q1. NEUREXAM (which of the following was completed?) = 1-3 then  Q3. PARKSIGN (Parkinsonian signs) cannot be blank,If NEUREXAM = 1-3 and PARKSIGN = blank,n/a,n/a,Error,Yes,Missingness,Yes,,,,,,,,,,,,,,,,,,,,,,
PARKSIGN,PARKSIGN conforms,PARKSIGN must be between 0-1 or = 8.,Q3. PARKSIGN (Parkinsonian signs) must be an integer between 0 and 1 or equal 8,If PARKSIGN < 0 or PARKSIGN > 1 and ≠ 8,n/a,n/a,Error,Yes,Conformity,Yes,,,,,,,,,,,,,,,,,,,,,,
SLOWINGFM,SLOWINGFM must be present if PARKSIGN = 1 (Yes),"If PARKSIGN = 1, then SLOWINGFM cannot be blank",If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3a. SLOWINGFM (slowing of fine motor movements) cannot be blank,If PARKSIGN = 1 and SLOWINGFM = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
SLOWINGFM,SLOWINGFM conforms,SLOWINGFM must be between 0-3 or = 8,Q3a. SLOWINGFM (slowing of fine motor movements) must be an integer between 0 and 3 or equal 8,If SLOWINGFM < 0 or SLOWINGFM >3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
TREMREST,TREMREST must be present if PARKSIGN = 1 (Yes),"If PARKSIGN = 1, then TREMREST cannot be blank",If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3b. TREMREST (limb tremor at rest) cannot be blank,If PARKSIGN = 1 and TREMREST = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
TREMREST,TREMREST conforms,TREMREST must be between 0-3 or = 8,Q3b. TREMREST (limb tremor at rest) must be an integer between 0 and 3 or equal 8,If TREMREST < 0 or TREMREST > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
TREMPOST,TREMPOST must be present if PARKSIGN = 1 (Yes),If PARKSIGN = 1 then TREMPOST cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3c. TREMPOST (limb tremor postural) cannot be blank,If PARKSIGN = 1 and TREMPOST = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
TREMPOST,TREMPOST conforms,TREMPOST must be between 0-3 or = 8,Q3c. TREMPOST (limb tremor postural) must be an integer between 0 and 3 or equal 8,If TREMPOST < 0 or TREMPOST > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
TREMKINE,TREMKINE must be present if PARKSIGN = 1 (Yes),If PARKSIGN = 1 then TREMKINE cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3d. TREMKINE (limb tremor kinetic) cannot be blank,If PARKSIGN = 1 and TREMKINE = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
TREMKINE,TREMKINE conforms,TREMKINE must be between 0-3  or = 8 ,Q3d. TREMKINE (limb tremor kinetic) must be an integer between 0 and 3 or equal 8,If TREMKINE < 0 or TREMKINE > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
RIGIDARM,RIGIDARM must be present if PARKSIGN = 1 (Yes),If PARKSIGN = 1 then RIGIDARM cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3e. RIGIDARM (limb rigidity arm) cannot be blank,If PARKSIGN = 1 and RIGIDARM = blank ,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
RIGIDARM,RIGIDARM conforms,RIGIDARM must be between 0-3 or = 8,Q3e. RIGIDARM (limb rigidity arm) must be an integer btween 0 and 3 or equal 8,If RIGIDARM < 0 or RIGIDARM > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
RIGIDLEG,RIGIDLEG must be present if PARKSIGN = 1,If PARKSIGN =1 then RIGIDLEG cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3f. RIGIDLEG (limb rigidity leg) cannot be blank,If PARKSIGN = 1 and RIGIDLEG = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
RIGIDLEG,RIGIDLEG conforms,RIGIDLEG must be between 0-3 or = 8 ,Q3f. RIGIDLEG (limb rigidity leg) must be an integer between 0 and 3 or equal 8,If RIGIDLEG < 0 or RIGIDLEG > 3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
DYSTARM,DYSTARM must be present if PARKSIGN = 1,If PARKSIGN = 1 then DYSTARM cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3g. DYSTARM (limb dystonia arm) cannot be blank,If PARKSIGN = 1 and DYSTARM = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
DYSTARM,DYSTARM conforms,DYSTARM must be between 0-3 or = 8,Q3g. DYSTARM (limb dystonia arm) must be an integer between 0 and 3 or equal 8,If DYSTARM < 0 or DYSTARM >3 and ≠ 8,n/a,n/a,Error,Yes,Conformity,No,,,,,,,,,,,,,,,,,,,,,,
DYSTLEG,DYSTLEG must be present if PARKSIGN = 1,If PARKSIGN = 1 then DYSTLEG cannot be blank,If Q3. PARKSIGN (Parkinsonian signs) = 1 then Q3h. DYSTLEG (limb dystonia leg) cannot be blank,If PARKSIGN = 1 and DYSTLEG = blank,n/a,n/a,Error,Yes,Missingness,No,,,,,,,,,,,,,,,,,,,,,,
