"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
b8_hdr,b8_neurological_examination_findings,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; border-style: none; height: 36px;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 49.2221%; height: 18px;"">Form date: {vstdate_b8:icons}</td> <td style=""width: 50.7779%; height: 18px;"">Examiner's initials: {initials_b8:icons}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
vstdate_b8,b8_neurological_examination_findings,,text,"Visit Date",,,date_mdy,,,,,y,,,,,
initials_b8,b8_neurological_examination_findings,,text,"Examiner's initials",,,,,,,,y,,,,,
b8_instr,b8_neurological_examination_findings,,descriptive,"<div class=""rich-text-field-label""><p><em>INSTRUCTIONS</em><span style=""font-weight: normal;""><em>: This form should be completed by a clinician with experience in </em></span><em><span style=""font-weight: normal;"">performing a comprehensive neurologic examination, assessing the presence/absence of neurological signs, and rating the degree of any abnormalities. Additionally, the clinician should have experience in completing each of the assessment measures associated with the gateway questions if any key neurologic findings are present</span></em><span style=""font-weight: normal;""><em>.  For additional clarification and examples, see</em></span><em> </em><a href=""https://naccdata.org/data-collection/forms-documentation/uds-3"" target=""_blank"" rel=""noopener""><span style=""font-weight: normal;"">UDS Coding Guidebook</span></a><em><a href=""https://naccdata.org/data-collection/forms-documentation/uds-3"" target=""_blank"" rel=""noopener""><span style=""font-weight: normal;""> for</span></a></em><a href=""https://naccdata.org/data-collection/forms-documentation/uds-3"" target=""_blank"" rel=""noopener""><span style=""font-weight: normal;""> Initial Visit Packet, Form B8.</span></a></p></div>",,,,,,,,,,,,,
b8_section1,b8_neurological_examination_findings,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 45px; background-color: #236fa1; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 45px;""> <td style=""width: 100%; height: 45px; text-align: left;""><span style=""color: #ecf0f1;"">Section 1 - Examiner & Examination Questions</span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <div class=""page"" title=""Page 2""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <p> </p> </div> </div> </div> </div> </div> </div> </div></div>",,,,,,,,,,,,,
neurexam,b8_neurological_examination_findings,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">1. Which of the following was completed on this participant?</span></p></div>","0, No neurologic examination | 1, Comprehensive neurologic examination as suggested in the UDS Coding Guidebook | 2, Focused or partial neurologic examination performed in-person | 3, Focused or partial neurologic examination performed via telehealth",,,,,,,y,LV,,,,
normnrexam,b8_neurological_examination_findings,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">2. Were there abnormal neurological exam findings?</span></p></div>","0, No abnormal findings | 1, Yes",,,,,,"[neurexam]='1' or [neurexam]='2' or [neurexam]='3'",y,LV,,,,
b8_section2,b8_neurological_examination_findings,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 45px; background-color: #236fa1; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 45px;""> <td style=""width: 100%; height: 45px; text-align: left;""><span style=""color: #ecf0f1;"">Section 2 - Specific Clinical Findings</span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <div class=""page"" title=""Page 2""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <p> </p> </div> </div> </div> </div> </div> </div> </div></div>",,,,,,,"([neurexam]='1' or [neurexam]='2' or [neurexam]='3') and [normnrexam] = '1'",,,,,,
b8_section2a,b8_neurological_examination_findings,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 53px; background-color: #97a9ca; border-color: #316297; border-style: solid;"" border=""1""> <tbody> <tr style=""height: 18px;""> <td style=""width: 100%; height: 18px; text-align: left;""><span style=""color: #ecf0f1;"">Section 2A - Parkinsonian Signs</span></td> </tr> </tbody> </table> <div class=""page"" title=""Page 2""> <div class=""layoutArea""> <div class=""column""> <div class=""page"" title=""Page 2""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <p> </p> </div> </div> </div> </div> </div> </div> </div></div>",,,,,,,[normnrexam]='1',,,,,,
parksign,b8_neurological_examination_findings,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">3. Parkinsonian Signs</span></p></div>","0, No abnormal signs in this section are present | 1, Yes (<b>IF YES</b>, consider completing additional measures as described in Section 2D) | 8, Not assessed",,,,,,[normnrexam]='1',y,LV,,,,
