"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
b6_fieldembed,b6_geriatric_depression_scale,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 98.3027%; background-color: #ffffff;""> <p>{b6_instruct:icons}</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 40.9046%; border-color: #2c669f; border-style: solid;"">{nogds:icons}</td> <td style=""width: 59.0954%; border-color: #2c669f; border-style: solid;"">{b6_instruct2:icons}</td> </tr> </tbody> </table> <p>{b6_instruct3}</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">1. Are you basically satisfied with your life?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{satis:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">2. Have you dropped many of your activities and interests?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{dropact:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">3. Do you feel that your life is empty?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{empty:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">4. Do you often get bored?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{bored:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">5. Are you in good spirits most of the time?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{spirits:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">6. Are you afraid that something bad is going to happen to you?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{afraid:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">7. Do you feel happy most of the time?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{happy:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">8. Do you often feel helpless?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{helpless:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">9. Do you prefer to stay at home, rather than going out and doing new things?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{stayhome:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">10. Do you feel you have more problems with memory than most?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{memprob:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">11. Do you think it is wonderful to be alive now?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{wondrful:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">12. Do you feel pretty worthless the way you are now?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{wrthless:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">13. Do you feel full of energy?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{energy:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">14. Do you feel that your situation is hopeless?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{hopeless:icons}</td> </tr> <tr> <td style=""width: 54.1913%; background-color: #f3f6fa;"">15. Do you think that most people are better off than you are?</td> <td style=""width: 45.9528%; background-color: #f3f6fa;"">{better:icons}</td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 69.3084%;"">16. Sum all checked answers for a Total GDS Score <br /><em>(max score=15; did not complete=88)</em></td> <td style=""width: 30.6916%;"">{gds:icons}</td> </tr> <tr> <td style=""width: 100%;"" colspan=""2""> <p>{b6_reference1}</p> <p>{b6_footer}</p> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
b6_instruct,b6_geriatric_depression_scale,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><em>INSTRUCTIONS: This form is to be completed by the clinician or other trained health professional, based on participant response. For additional clarification and examples, see <a href=""https://www.dropbox.com/s/5epvo34y6ex97gl/B6.pdf?dl=0"" target=""_blank"" rel=""noopener"">UDS Coding Guidebook for Initial Visit Packet, Form B6</a>. Select only <span style=""text-decoration: underline;"">one</span> answer per question.</em></span></p></div>",,,,,,,,,,,,,
b6_instruct2,b6_geriatric_depression_scale,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Select this box and enter ""88"" below for the Total GDS Score </span>if and only<span style=""font-weight: normal;""> </span>if the participant<span style=""font-weight: normal;"">: 1.) does not attempt the GDS, or 2.) answers fewer than 12 questions.</span></p></div>",,,,,,,,,,,,,
nogds,b6_geriatric_depression_scale,,radio,"Is the subject able to complete the GDS, based on the clinician's best judgment?","1, Not able to complete the GDS",,,,,,,y,,,,,
b6_instruct3,b6_geriatric_depression_scale,,descriptive,"<div class=""rich-text-field-label""><p>Instruct the participant:<span style=""font-weight: normal;""> ""In the next part of this interview, I will ask you questions about your feelings. Some of the questions I will ask you may not apply, and some may make you feel uncomfortable. For each question, please answer ""yes"" or ""no"", depending on how you have been feeling </span>in the past week, including today.<span style=""font-weight: normal;"">""</span></p></div>",,,,,,,,,,,,,
satis,b6_geriatric_depression_scale,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">1. Are you basically satisfied with your life?</span></p></div>","0, Yes | 1, No | 9, Did not answer",,,,,,,y,RH,,,,
satis_2,b6_geriatric_depression_scale,,calc,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">1. Are you basically satisfied with your life?</span></p></div>","if([satis] = 9, 0, [satis])",,,,,,,,RH,,,," @HIDDEN"
satis_phantom,b6_geriatric_depression_scale,,calc,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">1. Are you basically satisfied with your life?</span></p></div>","if([satis] = 9, 1, 0)",,,,,,,,RH,,,," @HIDDEN"
dropact,b6_geriatric_depression_scale,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">2. Have you dropped many of your activities and interests?</span></p></div>","1, Yes | 0, No | 9, Did not answer",,,,,,,y,RH,,,,
dropact_2,b6_geriatric_depression_scale,,calc,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">2. Have you dropped many of your activities and interests?</span></p></div>","if([dropact] = 9, 0, [dropact])",,,,,,,,RH,,,," @HIDDEN"
