Status,Form ,Version,v4 IVP Q#,v4 FVP Q#,Variable,Variable Type,Short Descriptor,Data Type,Allowable Codes,Description/derivation,TT code
New,B1,4,"3a, 3b","3a, 3b",NACCWAIST,NACC derived variable,"Waist circumference (inches), average of two measurements",Numeric longitudinal,"20-60
888 = Unknown or not assessed
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",,"v1-3: -4
v4: If WAIST1=888 or WAIST2=888, then =888. Else average(WAIST1, WAIST2)."
New,B1,4,"4a, 4b","4a, 4b",NACCHIP,NACC derived variable,"Hip circumference (inches), average of two measurements",Numeric longitudinal,"25-70
888 = Unknown or not assessed
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",,"v1-3: -4
v4: If HIP1=888 or HIP2=888, then =888. Else average(HIP1, HIP2)."
New,B1,3-4,"5a1a, 5a2a","5a1a, 5a2a",NACCBPSYSL,NACC derived variable,"Participant blood pressure (average of two readings), systolic, left arm",Numeric longitudinal,"70-230
888 = Unknown or not assessed
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question","In November 2020, a standard procedure for measuring blood pressure was introduced to UDSv3 and subsequent versions. When blood pressure is not measured using the standard protocol, NACCBPSYSL=-4.","v1-2: -4
v3: If BPSYS=777, then=BPSYSL. Else =-4.
v4: If BPSYSL1=888 or BPSYSL2=888, then =888. Else average(BPSYSL1, BPSYSL2)."
New,B1,3-4,"5b1a, 5b2a","5b1a, 5b2a",NACCBPSYSR,NACC derived variable,"Participant blood pressure (average of two readings), systolic, right arm",Numeric longitudinal,"70-230
888 = Unknown or not assessed
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question","In November 2020, a standard procedure for measuring blood pressure was introduced to UDSv3 and subsequent versions. When blood pressure is not measured using the standard protocol, NACCBPSYSR=-4.","v1-2: -4
v3: if BPSYS=777, then=BPSYSR. Else =-4
v4: If BPSYSR1=888 or BPSYSR2=888, then =888. Else average(BPSYSR1, BPSYSR2)."
New,B1,3-4,"5a1b, 5a2b","5a1b, 5a2b",NACCBPDIAL,NACC derived variable,"Participant blood pressure (average of two readings), diastolic, left arm",Numeric longitudinal,"30-140
888 = Unknown or not assessed
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question","In November 2020, a standard procedure for measuring blood pressure was introduced to UDSv3 and subsequent versions. When blood pressure is not measured using the standard protocol, NACCBPDIAL=-4.","v1-2: -4
v3: if BPDIAS=777, then=BPDIASL. Else =-4
v4: If BPDIASL1=888 or BPDIASL2=888, then =888. Else average(BPDIASL1, BPDIASL2)."
New,B1,3-4,"5b1b, 5b2b","5b1b, 5b2b",NACCBPDIAR,NACC derived variable,"Participant blood pressure (average of two readings), diastolic, right arm",Numeric longitudinal,"30-140
888 = Unknown or not assessed
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question","In November 2020, a standard procedure for measuring blood pressure was introduced to UDSv3 and subsequent versions. When blood pressure is not measured using the standard protocol, NACCBPDIAR=-4.","v1-2: -4
v3: if BPDIAS=777, then=BPDIASR. Else =-4
v4: If BPDIASR1=888 or BPDIASR2=888, then =888. Else average(BPDIASR1, BPDIASR2)."
Existing,B1,1-4,"1, 2","1, 2",NACCBMI,NACC derived variable,Body mass index (BMI),Numeric longitudinal,"10.0 – 100.0 
888.8 = Unknown or not assessed 
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question","Body mass index is derived using variables height (pounds) and weight (inches). The standardized calculation used is as follows: BMI = ( weight (lbs) × 703) ÷ height (in) 2 If height or weight is missing or unknown, then naccbmi =888. If Form B1 was not submitted, then naccbmi = -4.",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
