error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
F2-FCV-m-001,001,Error,F2,FCV,FRMDATEF2,Missingness,FRMDATEF2 must be present,FRMDATEF2 cannot be blank,Q0G. FRMDATEF2 (F2 form date) cannot be blank,If FRMDATEF2=blank,,,,,
F2-FCV-c-002,002,Error,F2,FCV,FRMDATEF2,Conformity,FRMDATEF2 conforms,FRMDATEF2 must be a date,Q0G. FRMDATEF2 (F2 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEF2 is not mm/dd/yyyy or yyyy/mm/dd,,,,,
F2-FCV-m-003,003,Error,F2,FCV,MODEF2,Missingness,MODEF2 must be present,MODEF2 cannot be blank,Q0H. MODEF2 (F2 in person or remote) cannot be blank,If MODEF2=blank,,,,,
F2-FCV-c-004,004,Error,F2,FCV,MODEF2,Conformity,MODEF2 conforms,MODEF2 must be an integer between 1-2,Q0H. MODEF2 (F2 in person or remote) must be an integer between 1-2,If MODEF2 < 1 or MODEF2 > 2,,,,,
F2-FCV-m-005,005,Error,F2,FCV,RMREASF2,Missingness,RMREASF2 conditionally present,"If MODEF2= 2, RMREASF2 cannot be blank",If Q0H. MODEF2 (F2 in person or remote) = 2 (Remote) then Q0H1. RMREASF2 (Reason for remote F2) cannot be blank,If MODEF2 = 2 and RMREASF2 = blank,,"MODEF2, RMREASF2",,,
F2-FCV-m-006,006,Error,F2,FCV,RMREASF2,Missingness,RMREASF2 conditionally absent,"If MODEF2 = 1, RMREASF2 must be blank",If Q0H. MODEF2 (F2 in person or remote) = 1 (In-person) then Q0H1. RMREASF2 (Reason for remote F2) must be blank,If MODEF2= 1 and RMREASF2 not = blank,,"MODEF2, RMREASF2",,,
F2-FCV-c-007,007,Error,F2,FCV,RMREASF2,Conformity,RMREASF2 conforms,RMREASF2 must be an integer between 1-5,Q0H1. RMREASF2 (Reason for remote F2) must be an integer between 1-5,If RMREASF2 < 1 or RMREASF2 > 5,,,,,
F2-FCV-c-008,008,Error,F2,FCV,C19CDR,Conformity,C19CDR conforms,C19CDR must be an integer between 0 and 1,QOK. C19CDR (Is the participant's CDR® > 0.5?) must be an integer between 0 and 1,IF  C19CDR <0 or C19CDR >1 ,n/a,n/a,,,
F2-FCV-m-009,009,Error,F2,FCV,C19CDR,Missingness,C19CDR must be present,C19CDR cannot be blank,QOK. C19CDR (Is the participant's CDR® > 0.5?) cannot be blank,IF C19CDR=blank,n/a,n/a,,,
F2-FCV-c-010,010,Error,F2,FCV,C19F2CP,Conformity,C19F2CP conforms,C19F2CP must be an integer between 1 and 3,QOL. C19F2CP (Who will be filling in the F2 Participant form?) must be an integer between 1 and 3,IF  C19F2CP <1 or C19F2CP >3,n/a,n/a,,,
F2-FCV-m-011,011,Error,F2,FCV,C19F2CP,Missingness,C19F2CP must be present,C19F2CP cannot be blank,QOL. C19F2CP (Who will be filling in the F2 Participant form?) cannot be blank,IF C19F2CP=blank,n/a,n/a,,,
F2-FCV-c-012,012,Error,F2,FCV,F3_PARTICIPATION,Conformity,F3_PARTICIPATION conforms,F3_PARTICIPATION must be an integer between 0 and 1,Q0N. F3_PARTICIPATION (Will a co-participant complete the F3 form?) must be an integer between 0 and 1,IF F3_PARTICIPATION <0 or F3_PARTICIPATION >1 ,n/a,n/a,,,
F2-FCV-m-013,013,Error,F2,FCV,F3_PARTICIPATION,Missingness,F3_PARTICIPATION must be present,F3_PARTICIPATION cannot be blank,Q0N. F3_PARTICIPATION (Will a co-participant complete the F3 form?) cannot be blank,IF F3_PARTICIPATION =blank,n/a,n/a,,,
F2-FCV-c-014,014,Error,F2,FCV,C19DIAG,Conformity,C19DIAG conforms,"C19DIAG must be an integer between 0-2, 8, 9","Q1. C19DIAG (Have you ever tested positive for COVID-19 and/or been diagnosed with COVID-19 by a healthcare provider?) must be an integer between 0-2, 8, 9",IF  C19DIAG<0 or (C19DIAG>2 and C19DIAG ne 8 and C19DIAG ne 9),n/a,n/a,,,
F2-FCV-m-015,015,Error,F2,FCV,C19DIAG,Missingness,C19DIAG must be present,C19DIAG cannot be blank,Q1. C19DIAG (Have you ever tested positive for COVID-19 and/or been diagnosed with COVID-19 by a healthcare provider?) cannot be blank,IF C19DIAG =blank,n/a,n/a,,,
F2-FCV-c-016,016,Error,F2,FCV,C19NORM,Conformity,C19NORM conforms,If C19NORM must be an integer between 0-100,"Q2. C19NORM (If 100% is feeling perfectly normal (fully recovered from your COVID-19 symptoms), what percent of normal do you feel?) must be an integer between 0-100",If C19NORM < 0 orC19NORM > 100,,,,,
F2-FCV-m-017,017,Error,F2,FCV,C19NORM,Missingness,C19NORM conditionally present,"If C19DIAG= 1 or 2, then C19NORM cannot be blank","If Q1. C19DIAG (Have you ever tested positive for COVID-19 and/or been diagnosed with COVID-19 by a healthcare provider?) = 1 or 2, then Q2 C19NORM (If 100% is feeling perfectly normal (fully recovered from your COVID-19 symptoms), what percent of normal do you feel?) cannot be blank",If C19DIAG = 1 or C19DIAG = 2 and C19NORM =  blank,n/a,n/a,,,
F2-FCV-m-018,018,Error,F2,FCV,C19NORM,Missingness,C19NORM conditionally blank,"If C19DIAG = 0, 8, or 9, then C19NORM should be blank","If Q1. C19DIAG (Have you ever tested positive for COVID-19 and/or been diagnosed with COVID-19 by a healthcare provider)?) = 0, 8, or 9, then Q2. C19NORM (If 100% is feeling perfectly normal (fully recovered from your COVID-19 symptoms),  what percent of normal do you feel?) should be blank","If C19DIAG in (0, 8, 9) and C19NORM not = blank",n/a,,,,
F2-FCV-m-019,019,Error,F2,FCV,C19NORMX,Missingness,C19NORMX conditionally present,"If C19NORM < 100, then C19NORMX cannot be blank","If Q2. C19NORM (If 100% is feeling perfectly normal (fully recovered from your COVID-19 symptoms),
what percent of normal do you feel?) = 1 or 2, then Q2a C19NORMX (If not 100%, why are you not feeling perfectly normal??) cannot be blank",If C19NORM < 100 and C19NORMX =  blank,n/a,n/a,,,
F2-FCV-m-020,020,Error,F2,FCV,C19NORMX,Missingness,C19NORMX conditionally blank,"If C19NORM = 100, then C19NORMX should be blank","If Q2. C19NORM (If 100% is feeling perfectly normal (fully recovered from your COVID-19 symptoms),  what percent of normal do you feel?) = 100, then Q2a. C19NORMX (If not 100%, why are you not feeling perfectly normal?) should be blank",If C19NORM = 100 and C19NORMX not = blank,n/a,,,,
