error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
e2l-lbdivp-m-001,1,Error,e2l,IL,FRMDATEE2L,Missingness,FRMDATEE2L must be present,FRMDATEE2L cannot be blank,Q0a. FRMDATEE2L (E2L form date) cannot be blank ,If FRMDATEE2L = blank,,,Yes,No,
e2l-lbdivp-c-002,2,Error,e2l,IL,FRMDATEE2L,Conformity,FRMDATEE2L conforms,FRMDATEE2L must be a date,Q0a. FRMDATEE2L (E2L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEE2L is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
e2l-lbdivp-m-003,3,Error,e2l,IL,LBISMRI,Missingness,LBISMRI must be present,LBISMRI cannot be blank,Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) cannot be blank,If LBISMRI = blank,,,,,
e2l-lbdivp-c-004,4,Error,e2l,IL,LBISMRI,Conformity,LBISMRI conforms,LBISMRI must be an integer between 0-1,Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) must be an integer between 0-1,LBISMRI < 0 or LBISMRI > 1,,,,,
e2l-lbdivp-m-005,5,Error,e2l,IL,LBISMMO,Missingness,LBISMMO conditionally present,"If LBISMRI = 1, LBISMMO cannot be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 1 (Yes), Q1a1. LBISMMO (Date of most recent scan - month) cannot be blank",If LBISMRI = 1 and LBISMMO = blank,,"LBISMRI, LBISMMO",,,
e2l-lbdivp-m-006,6,Error,e2l,IL,LBISMMO,Missingness,LBISMMO conditionally blank,"If LBISMRI = 0, LBISMMO must be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 0 (No), Q1a1. LBISMMO (Date of most recent scan - month) must be blank",If LBISMRI = 0 and LBISMMO not = blank,,"LBISMRI, LBISMMO",,,
e2l-lbdivp-c-007,7,Error,e2l,IL,LBISMMO,Conformity,LBISMMO conforms,LBISMMO must be an integer between 1-12,Q1a1. LBISMMO (Date of most recent scan - month) must be an integer between 1-12,LBISMMO < 1 or LBISMMO > 12,,,,,
e2l-lbdivp-m-008,8,Error,e2l,IL,LBISMDY,Missingness,LBISMDY conditionally present,"If LBISMRI = 1, LBISMDY cannot be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 1 (Yes), Q1a2. LBISMDY (Date of most recent scan - day) cannot be blank",If LBISMRI = 1 and LBISMDY = blank,,"LBISMRI, LBISMDY",,,
e2l-lbdivp-m-009,9,Error,e2l,IL,LBISMDY,Missingness,LBISMDY conditionally blank,"If LBISMRI = 0, LBISMDY must be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 0 (No), Q1a2. LBISMDY (Date of most recent scan - day) must be blank",If LBISMRI = 0 and LBISMDY not = blank,,"LBISMRI, LBISMDY",,,
e2l-lbdivp-c-010,10,Error,e2l,IL,LBISMDY,Conformity,LBISMDY conforms,LBISMDY must be an integer between 1-31 or 99,Q1a1. LBISMMO (Date of most recent scan - month) must be an integer between 1-31 or 99,LBISMDY < 1 or LBISMDY > 31 (and not = 99),,,,,
e2l-lbdivp-m-011,11,Error,e2l,IL,LBISMYR,Missingness,LBISMYR conditionally present,"If LBISMRI = 1, LBISMYR cannot be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 1 (Yes), Q1a3. LBISMYR (Date of most recent scan - year) cannot be blank",If LBISMRI = 1 and LBISMYR = blank,,"LBISMRI, LBISMYR",,,
e2l-lbdivp-m-012,12,Error,e2l,IL,LBISMYR,Missingness,LBISMYR conditionally blank,"If LBISMRI = 0, LBISMYR must be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 0 (No), Q1a3. LBISMYR (Date of most recent scan - year) must be blank",If LBISMRI = 0 and LBISMYR not = blank,,"LBISMRI, LBISMYR",,,
e2l-lbdivp-c-013,13,Error,e2l,IL,LBISMYR,Conformity,LBISMYR conforms,LBISMYR must be an integer between 2000 - current year,Q1a3. LBISMYR (Date of most recent scan - year) must be an integer between 2000 and current year,LBISMYR < 2000 or LBISMYR > current year,,,,,
e2l-lbdivp-m-014,14,Error,e2l,IL,LBISMQAV,Missingness,LBISMQAV conditionally present,"If LBISMRI = 1, LBISMQAV cannot be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 1 (Yes), Q1b. LBISMQAV (Are results of quantitative image analysis available?) cannot be blank",If LBISMRI = 1 and LBISMQAV = blank,,"LBISMRI, LBISMQAV",,,
e2l-lbdivp-m-015,15,Error,e2l,IL,LBISMQAV,Missingness,LBISMQAV conditionally blank,"If LBISMRI = 0, LBISMQAV must be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 0 (No), Q1b. LBISMQAV (Are results of quantitative image analysis available?) must be blank",If LBISMRI = 0 and LBISMQAV not = blank,,"LBISMRI, LBISMQAV",,,
e2l-lbdivp-c-016,16,Error,e2l,IL,LBISMQAV,Conformity,LBISMQAV conforms,LBISMQAV must be an integer between 0-1 or 9,Q1b. LBISMQAV (Are results of quantitative image analysis available?) must be an integer between 0-1 or 9,LBISMQAV < 0 or LBISMQAV > 1 (and not = 9),,,,,
e2l-lbdivp-m-017,17,Error,e2l,IL,LBISMHIP,Missingness,LBISMHIP conditionally present,"If LBISMQAV = 1, LBISMHIP cannot be blank","If Q1b. LBISMQAV (Are results of quantitative image analysis available?) = 1 (Yes), Q1c. LBISMHIP (MRI finding of hippocampal atrophy?) cannot be blank",If LBISMQAV = 1 and LBISMHIP = blank,,"LBISMQAV , LBISMHIP",,,
e2l-lbdivp-m-018,18,Error,e2l,IL,LBISMHIP,Missingness,LBISMHIP conditionally blank,"If LBISMQAV ne 1, LBISMHIP must be blank","If Q1b. LBISMQAV (Are results of quantitative image analysis available?) not = 1, Q1c. LBISMHIP (MRI finding of hippocampal atrophy?) must be blank",If LBISMQAV ne 1 and LBISMHIP not = blank,,"LBISMQAV, LBISMHIP",,,
e2l-lbdivp-c-019,19,Error,e2l,IL,LBISMHIP,Conformity,LBISMHIP conforms,LBISMHIP must be an integer between 0-1 or 8-9,Q1c. LBISMHIP (MRI finding of hippocampal atrophy?) must be an integer between 0-1 or 8-9,LBISMHIP < 0 or LBISMHIP > 1 (and not = 8 or 9),,,,,
e2l-lbdivp-m-020,20,Error,e2l,IL,LBISMAVL,Missingness,LBISMAVL conditionally present,"If LBISMRI = 1, LBISMAVL cannot be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 1 (Yes), Q1d. LBISMAVL (MRI available for data sharing?) cannot be blank",If LBISMRI = 1 and LBISMAVL = blank,,"LBISMRI, LBISMAVL",,,
e2l-lbdivp-m-021,21,Error,e2l,IL,LBISMAVL,Missingness,LBISMAVL conditionally blank,"If LBISMRI = 0, LBISMAVL must be blank","If Q1. LBISMRI (Has participant had at least one structural MRI as part of current or previous evaluation?) = 0 (No), Q1d. LBISMAVL (MRI available for data sharing?) must be blank",If LBISMRI = 0 and LBISMAVL not = blank,,"LBISMRI, LBISMAVL",,,
e2l-lbdivp-c-022,22,Error,e2l,IL,LBISMAVL,Conformity,LBISMAVL conforms,LBISMAVL must be an integer between 0-1 ,Q1d. LBISMAVL (MRI available for data sharing?) must be an integer between 0-1 ,LBISMAVL < 0 or LBISMAVL > 1 ,,,,,
