CHECKLIST,Form ,Packet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B7,IVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question,Variable (limit=10 characters),MISSINGNESS: Is this required to be present if this form is submitted? ,"CONFORMITY: What values/ranges/characters, etc. are allowed for this field?",PLAUSIBILITY: Is this concept or a concept related to it assessed again at any point within any other UDSv4 IVP forms (including witihin the same form)?,,,,,,,,,,,,,,,PLAUSIBILITY: Was this concept assessed in any previous versions of the UDS? ,,,"PLAUSIBILITY: Is this concept assessing something that can plausibly change from one visit to another (e.g., diabetes at visit 1 and no diabetes at visit 2; severe impairment at visit 1 and no impairment at visit 2, etc.)?",How many errors/alerts should there be for this variable?,Major variable changes for RDD-UDS update?,RDD edit notes,Short version of question for english test output (for data core),RSG notes:,,,,,,,,,,,,,,,,,
,,,,A1,A2,A3,A4,A5/D2,B1,B4,B5,B6,B7,B8,B9,C2,D1a,D1b,UDSv1,UDSv2,UDSv3,,,,,,,,,,,,,,,,,,,,,,,
"1. Writing checks, paying bills, or balancing a checkbook",BILLS,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,,2,No,same var name in all 3 versions,"Q1. BILLS (difficulty with checks, bills, checkbooks)",,,,,,,,,,,,,,,,,,
"2. Assembling tax records, business affairs, or other papers",TAXES,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,,2,No,same var name in all 3 versions,"Q2. TAXES (difficulty with taxes, business, and other papers)",,,,,,,,,,,,,,,,,,
"3. Shopping alone for clothes, household necessities, or groceries",SHOPPING,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,,2,No,same var name in all 3 versions,"Q3. SHOPPING (difficulty with shopping for clothes, groceries, etc.)",,,,,,,,,,,,,,,,,,
"4. Playing a game of skill such as bridge or chess, working on a hobby",GAMES,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,,2,No,same var name in all 3 versions,Q4. GAMES (difficulty with playing skilled games or hobbies),,,,,,,,,,,,,,,,,,
"5. Heating water, making a cup of coffee, turning off the stove",STOVE,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,TRUE,TRUE,TRUE,"If heating water, making a cup of coffee, turning off the stove is normal (0) and preparing a balanced meal = 3 (dependent), and vice versa",4,No,same var name in all 3 versions,Q5. STOVE (difficulty with using stove or kitchen appliances),,,,,,,,,,,,,,,,,,
6. Preparing a balanced meal,MEALPREP,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,TRUE,TRUE,TRUE,"If heating water, making a cup of coffee, turning off the stove is normal (0) and preparing a balanced meal = 3 (dependent), and vice versa",4,No,same var name in all 3 versions,Q6. MEALPREP (difficulty withpreparing meals),,,,,,,,,,,,,,,,,,
7. Keeping track of current events,EVENTS,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,,2,No,same var name in all 3 versions,Q7. EVENTS (difficulty with current events),,,,,,,,,,,,,,,,,,
"8. Paying attention to and understanding a TV program, book, or magazine",PAYATTN,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,,2,No,same var name in all 3 versions,"Q8. PAYATTN (difficulty with paying attention to TV, books, magazines)",,,,,,,,,,,,,,,,,,
"9. Remembering appointments, family occasions, holidays, medications",REMDATES,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,,2,No,same var name in all 3 versions,"Q9. REMDATES (difficulty with remembering appointments, holidays, medications)",,,,,,,,,,,,,,,,,,
"10. Traveling out of the neighborhood, driving, or arranging to take public transportation",TRAVEL,Yes,"Integers 0-3, 8,9",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TRUE,TRUE,TRUE,,2,No,same var name in all 3 versions,"Q10. TRAVEL (difficulty with travling, driving, public transport)",,,,,,,,,,,,,,,,,,
