"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
a2headerforreal,a2_coparticipant_demographics,,descriptive,"<div class=""rich-text-field-label""><h1> </h1> <table style=""border-collapse: collapse; width: 100%; height: 73.375px;"" border=""0""> <tbody> <tr style=""height: 73.375px;""> <td style=""width: 33.2851%; height: 73.375px;"">ADRC name: [adrcid] </td> <td style=""width: 25.3503%; height: 73.375px;"">Participant ID: [ptid]   </td> <td style=""width: 41.3646%; height: 73.375px;"">Form Date: {a2formdate}</td> </tr> </tbody> </table> <p> </p> <table style=""border-collapse: collapse; width: 100%;"" border=""0""> <tbody> <tr> <td style=""width: 46.0016%; height: 66.375px;""> <p>Visit #: {visitnum}</p> </td> <td style=""width: 53.9984%; height: 66.375px;""> <p>Examiner's Initials: {examinerinitials}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
a2formdate,a2_coparticipant_demographics,,text,"Form date",,,date_mdy,,,,,,,,,,
visitnum,a2_coparticipant_demographics,,text,"Visit number",,,number,,,,,,RH,,,,
examinerinitials,a2_coparticipant_demographics,,text,"Examiner's Initials",,,,,,,,,,,,,
ivp_a2_instruct,a2_coparticipant_demographics,,descriptive,"<div class=""rich-text-field-label""><p><em><span style=""font-weight: normal;"">INSTRUCTIONS: this form is to be completed by intake interviewer based on co-participant's report. For additional clarification and examples, see the <a href=""https://umich.box.com/s/tk5m5rmad70zuj2r422hshkedi6g735r"" target=""_blank"" rel=""noopener"">UDS Coding Guidebook for Initial Visit Packet, Form A2</a>. Check only <span style=""text-decoration: underline;"">one</span> box per question.</span></em></p></div>",,"99 = unknown",,,,,"[packet]=""I""",,,,,,
fvp_a2_instruct,a2_coparticipant_demographics,,descriptive,"<div class=""rich-text-field-label""><p><em><span style=""font-weight: normal;"">INSTRUCTIONS: this form is to be completed by the intake interviewer based on co-participant's report. For additional clarification and examples, see <a href=""https://umich.box.com/s/5s9isqpl9ebwr89mwwlo4733bj5ztdrp"" target=""_blank"" rel=""noopener"">UDS Coding Guidebook for Follow-up Visit Packet, Form A2</a>. Check only <span style=""text-decoration: underline;"">one</span> box per question.</span></em></p></div>",,"99 = unknown",,,,,"[packet]=""F""",,,,,,
tvp_a2_instruct,a2_coparticipant_demographics,,descriptive,"<div class=""rich-text-field-label""><p><em><span style=""font-weight: normal;"">INSTRUCTIONS: this form is to be completed by the intake interviewer based on co-participant's report. For additional clarification and examples, see <a href=""https://umich.box.com/s/lk7vwr7aouajmjov8es5qqlyix7up4nr"" target=""_blank"" rel=""noopener"">UDS Coding Guidebook for Telephone Follow-up Visit Packet, Form A2</a>. Check only <span style=""text-decoration: underline;"">one</span> box per question.</span></em></p></div>",,"99 = unknown",,,,,"[packet]=""T""",,,,,,
inrelto,a2_coparticipant_demographics,,radio,"<div class=""rich-text-field-label""><p>What is co-participant's relationship to the subject?<br /><br />Select the <span style=""text-decoration: underline;"">most</span> appropriate choice</p></div>","1, Spouse, partner, or companion (including ex-spouse, ex-partner, fiancé(e), boyfriend, girlfriend) | 2, Child (by blood or through marriage or adoption) | 3, Sibling (by blood or through marriage or adoption) | 4, Other relative (by blood or through marriage or adoption) | 5, Friend, neighbor, or someone known through family, friends, work, or community (e.g., church) | 6, Paid caregiver, health care provider, or clinician",,,,,,,,,,,,
relationshipduration,a2_coparticipant_demographics,,dropdown,"How long has the co-participant known the participant (in years)?","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31 | 32, 32 | 33, 33 | 34, 34 | 35, 35 | 36, 36 | 37, 37 | 38, 38 | 39, 39 | 40, 40 | 41, 41 | 42, 42 | 43, 43 | 44, 44 | 45, 45 | 46, 46 | 47, 47 | 48, 48 | 49, 49 | 50, 50 | 51, 51 | 52, 52 | 53, 53 | 54, 54 | 55, 55 | 56, 56 | 57, 57 | 58, 58 | 59, 59 | 60, 60 | 61, 61 | 62, 62 | 63, 63 | 64, 64 | 65, 65 | 66, 66 | 67, 67 | 68, 68 | 69, 69 | 70, 70 | 71, 71 | 72, 72 | 73, 73 | 74, 74 | 75, 75 | 76, 76 | 77, 77 | 78, 78 | 79, 79 | 80, 80 | 81, 81 | 82, 82 | 83, 83 | 84, 84 | 85, 85 | 86, 86 | 87, 87 | 88, 88 | 89, 89 | 90, 90 | 91, 91 | 92, 92 | 93, 93 | 94, 94 | 95, 95 | 96, 96 | 97, 97 | 98, 98 | 99, 99 | 100, 100 | 101, 101 | 102, 102 | 103, 103 | 104, 104 | 105, 105 | 106, 106 | 107, 107 | 108, 108 | 109, 109 | 110, 110 | 111, 111 | 112, 112 | 113, 113 | 114, 114 | 115, 115 | 116, 116 | 117, 117 | 118, 118 | 119, 119 | 120, 120 | 999, 999. Unknown","years <i>(999 = unknown)</i>",autocomplete,,,,,,,,,,
livewith,a2_coparticipant_demographics,,radio,"Does the co-participant live with the participant?","0, No | 1, Yes",,,,,,,,RH,,,,
modeofcontact,a2_coparticipant_demographics,,radio,"<div class=""rich-text-field-label""><p>What is the primary mode of contact with the participant?</p> <p> </p> <p><em>Select the <span style=""text-decoration: underline;"">most</span> appropriate choice:</em></p></div>","1, In-person | 2, Telephone | 3, Video conferencing | 4, Texting or email | 5, Social media platforms | 6, Other (Specify) {modeofcontact_other}",,,,,,,,,,,,
modeofcontact_other,a2_coparticipant_demographics,,text,Specify,,,,,,,,y,RH,,,,
contactfrequency,a2_coparticipant_demographics,,radio,"<div class=""rich-text-field-label""><p>What is the approximate frequency of contact?</p> <p> </p> <p><em>Select the <span style=""text-decoration: underline;"">most</span> appropriate choice:</em></p></div>","1, Daily | 2, At least three times per week | 3, Weekly | 4, At least three times per month | 5, Monthly | 6, Less than once a month",,,,,,,y,,,,,
avgtime,a2_coparticipant_demographics,,radio,"<div class=""rich-text-field-label""><p>What is the average amount of time spent in contact with the participant during each encounter?</p> <p><em>Select the <span style=""text-decoration: underline;"">most</span> appropriate choice:</em></p></div>","1, Less than 5 minutes <i>(appropriate for texting or email and may be applicable to other modes of contact as well)</i> | 2, 5-15 minutes | 3, 15-30 minutes | 4, 30-60 minutes | 5, Longer than one hour",,,,,,,,,,,,
inrely,a2_coparticipant_demographics,,radio,"Is there a question about the co-participant's reliability?","0, No | 1, Yes",,,,,,,,RH,,,,
